gene,module,degree_centrality,betweenness_centrality,eigenvector_centrality,community,degree
RPS25,40S ribosomal,0.8461538461538463,0.003076923076923077,0.23884965910736172,0,22
RPS9,40S ribosomal,0.8461538461538463,0.003076923076923077,0.2391686684639758,0,22
RPS17,40S ribosomal,0.8461538461538463,0.11538461538461539,0.23518050316080313,0,22
RPS23,40S ribosomal,0.8461538461538463,0.0,0.24075650185273398,0,22
RPS28,40S ribosomal,0.8461538461538463,0.05384615384615385,0.23752743199207493,0,22
RPS4X,40S ribosomal,0.8461538461538463,0.16615384615384615,0.23227309421856346,0,22
RPL28,60S ribosomal,0.6923076923076923,0.0,0.2196829624967074,1,18
RPL18,60S ribosomal,0.6923076923076923,0.0,0.22587272759381025,1,18
RPL31,60S ribosomal,0.6923076923076923,0.0,0.2253444822710795,1,18
RPL11,60S ribosomal,0.6923076923076923,0.0,0.22517301623201336,1,18
RPL13,60S ribosomal,0.6923076923076923,0.0,0.2240045365020149,1,18
RPL15,60S ribosomal,0.6923076923076923,0.0,0.22371347105442882,1,18
RPL34,60S ribosomal,0.6923076923076923,0.0,0.22095675777796855,1,18
RPL30,60S ribosomal,0.6923076923076923,0.0,0.22536257104894397,1,18
RPL10,60S ribosomal,0.6923076923076923,0.0,0.21760404784650952,1,18
RPL7,60S ribosomal,0.6923076923076923,0.0,0.22077747807592554,1,18
RPL13A,60S ribosomal,0.6923076923076923,0.0,0.21969466204155322,1,18
RPL17,60S ribosomal,0.6923076923076923,0.0,0.21454493415200276,1,18
RPL22,60S ribosomal,0.6923076923076923,0.0,0.2193557124042829,1,18
EIF3B,eIF3 complex,0.38461538461538464,0.20307692307692307,0.08201828949057567,0,10
EIF3F,eIF3 complex,0.34615384615384615,0.06461538461538462,0.07535603151693218,0,9
EIF3L,eIF3 complex,0.3076923076923077,0.0,0.07937173149890417,0,8
EIF1AD,other eIF,0.23076923076923078,0.0,0.06484593714682449,0,6
EIF4B,eIF4/initiation,0.15384615384615385,0.15076923076923077,0.004074214507521832,0,4
EIF5,other eIF,0.11538461538461539,0.0,0.008603121774536097,0,3
EIF4H,eIF4/initiation,0.038461538461538464,0.0,0.00022617720217621374,0,1
EIF4A3,eIF4/initiation,0.038461538461538464,0.0,0.00017630222939845223,0,1
