gene_symbol,median_normalized_rank
DDX21,0.00013666180758017493
EIF5B,0.0008199708454810495
EIF2S1,0.0008655247813411078
EIF2S2,0.0015032798833819242
EIF3J,0.0015943877551020409
DDX18,0.0016854956268221575
DHX15,0.0017310495626822156
EIF4G2,0.0017310495626822158
EIF5,0.0020043731778425656
DDX56,0.002141034985422741
EIF3B,0.0022776967930029156
EIF2B3,0.0022776967930029156
DDX5,0.002459912536443149
EIF1AX,0.002505466472303207
RPL7L1,0.0025510204081632655
EIF4E,0.0025965743440233236
EIF4G1,0.0025965743440233236
DHX9,0.0025965743440233236
RPS6KA3,0.00268768221574344
DDX10,0.0028698979591836736
DDX39A,0.003143221574344023
DDX49,0.0031432215743440236
EIF1AD,0.0031887755102040817
EIF4ENIF1,0.0031887755102040817
EIF3A,0.00323432944606414
DDX1,0.00323432944606414
EIF6,0.0033254373177842565
DDX24,0.0033254373177842565
RPS6KL1,0.0034620991253644312
EIF2B5,0.0034620991253644312
DDX55,0.0035532069970845483
DHX33,0.003735422740524781
RPS6KB1,0.0037809766763848398
DDX31,0.003872084548104956
EIF4E2,0.003963192419825073
RPL17,0.004008746355685131
DHX30,0.004008746355685131
RPS6KC1,0.004054300291545189
DHX29,0.004099854227405247
DHX36,0.004145408163265306
EIF5A2,0.004236516034985423
DDX50,0.004418731778425656
DHX57,0.004464285714285714
DHX38,0.004600947521865889
DDX46,0.004600947521865889
EIF2B2,0.004600947521865889
DDX20,0.004874271137026239
DDX28,0.004919825072886297
DHX37,0.004965379008746355
EIF4G3,0.005010932944606414
EIF5A,0.005147594752186589
RPS17,0.005147594752186589
EIF1,0.005238702623906705
EIF2AK2,0.005375364431486881
DDX51,0.005420918367346939
DDX54,0.00542091836734694
DDX3X,0.005557580174927114
DDX23,0.005557580174927114
DDX41,0.005694241982507288
DHX32,0.005739795918367347
EIF4A3,0.005739795918367347
EIF3M,0.0057853498542274045
DDX52,0.005785349854227405
EIF1B,0.005785349854227405
EIF4EBP1,0.0058309037900874635
EIF2B4,0.005876457725947522
RPS19BP1,0.006013119533527697
EIF2AK3,0.006058673469387755
DDX27,0.006149781341107871
DDX60,0.006240889212827988
DHX16,0.006240889212827988
DHX34,0.006240889212827988
EIF2B1,0.006286443148688047
DDX42,0.006331997084548105
EIF3I,0.006377551020408163
DHX8,0.006377551020408163
EIF2A,0.006377551020408163
RPS6KB2,0.006514212827988338
EIF4H,0.006605320699708455
EIF4A1,0.00674198250728863
DHX35,0.006924198250728863
RPL22L1,0.007060860058309038
EIF3D,0.0070608600583090386
RPL26L1,0.007151967930029155
DDX6,0.007334183673469387
RPS26,0.007425291545189504
DDX39B,0.007516399416909621
DDX59,0.0075619533527696795
EIF3K,0.007789723032069972
DDX47,0.007880830903790086
EIF3G,0.007880830903790086
EIF2AK1,0.007880830903790088
RPS10,0.00806304664723032
EIF4A2,0.008245262390670555
RPS27L,0.008336370262390671
RPS6KA1,0.008381924198250729
RPL39L,0.008381924198250729
DDX11,0.008791909620991254
RPL10A,0.008974125364431486
RPL35,0.009019679300291544
EIF4E3,0.009019679300291544
RPL21,0.009019679300291546
RPL36AL,0.009065233236151604
EIF2S3,0.009065233236151604
RPS21,0.009429664723032069
DDX58,0.009566326530612245
RPS29,0.009657434402332361
DDX60L,0.009839650145772596
RPL26,0.010021865889212828
RPL24,0.010112973760932944
EIF2AK4,0.010158527696793002
RPL35A,0.010204081632653062
RPS7,0.010295189504373178
RPS20,0.010295189504373178
DDX17,0.010386297376093295
RPL27,0.010568513119533527
RPLP2,0.01084183673469388
RPS8,0.010887390670553936
RPL23A,0.010932944606413994
DHX40,0.010932944606413995
RPS5,0.010932944606413995
RPL32,0.010978498542274052
RPL5,0.011160714285714286
RPS27A,0.011160714285714286
RPS15A,0.011206268221574344
RPL9,0.011206268221574344
RPS24,0.011206268221574344
RPL8,0.011251822157434402
RPS16,0.011251822157434402
RPL36,0.011616253644314869
RPS6KA2,0.011661807580174927
RPSA,0.011661807580174927
RPL13,0.011661807580174927
RPL39,0.011752915451895045
RPLP1,0.011844023323615161
RPL27A,0.011980685131195335
RPS14,0.011980685131195335
RPL4,0.012026239067055394
RPL37A,0.012026239067055394
RPS19,0.012026239067055394
RPL12,0.012071793002915452
EIF2D,0.012071793002915452
EIF4EBP2,0.01216290087463557
RPS6KA5,0.012345116618075802
RPL18A,0.012345116618075802
RPS23,0.01239067055393586
RPS12,0.01239067055393586
EIF3H,0.012527332361516035
RPS3,0.012572886297376094
RPS15,0.012846209912536443
RPS18,0.012846209912536443
RPL14,0.01293731778425656
RPL11,0.01293731778425656
RPL23,0.012982871720116617
RPS6,0.012982871720116619
RPS25,0.013119533527696793
RPS2,0.013165087463556852
RPS13,0.01321064139941691
RPS11,0.01321064139941691
EIF3F,0.01321064139941691
RPL29,0.01321064139941691
RPLP0,0.013392857142857142
RPL31,0.0134384110787172
RPS28,0.01348396501457726
RPL38,0.01348396501457726
RPL22,0.01348396501457726
RPL19,0.013620626822157434
RPL30,0.013666180758017493
RPL7A,0.013893950437317785
RPL15,0.01403061224489796
RPL7,0.014076166180758017
RPL18,0.014076166180758017
RPS4X,0.014121720116618077
EIF3E,0.014212827988338193
RPS9,0.01430393586005831
RPL13A,0.014440597667638484
RPL37,0.014486151603498542
RPL28,0.014668367346938774
RPL34,0.015032798833819243
RPL10,0.015215014577259475
EIF3L,0.016080539358600585
EIF4B,0.01639941690962099
RPS27,0.01639941690962099
