gene,k,pooled_log2FC,p,Q,I2,tau2,pi_lo,pi_hi,direction_concordance,loso_direction_robust,class,meta_FDR
DDX11-AS1,3,1.2533204790502206,0.0011725959582867158,1.4538296118085121,0.0,0.0,-0.4082612277532274,2.9149021858536686,0.6666666666666666,True,III_context_dependent,0.02106329776922434
RPS2P32,3,0.6251046721622674,0.035945717554001375,1.2792880654635441,0.0,0.0,-0.6571627109108803,1.907372055235415,0.6666666666666666,True,III_context_dependent,0.15485503514664364
EIF4E2,4,0.3519519508017112,0.05193021522752631,14.29778643975132,79.01773108276907,0.08897694092230075,-0.7585532889976789,1.4624571906011015,0.5,True,III_context_dependent,0.19524150686318031
DHX8,4,0.18654348280940736,0.062254292734491165,5.8635600625263935,48.83654353312091,0.01810656973950403,-0.34709129238973546,0.7201782580085502,0.5,True,III_context_dependent,0.2187922606973059
EIF4EBP2,4,-0.15623123847734935,0.08560813054652543,6.153910644011074,51.25051087767141,0.016276345643407426,-0.6547296456594988,0.3422671687048001,0.5,True,III_context_dependent,0.2661534827888771
EIF4A1,4,0.7161342549157353,0.10574065012036558,29.57525290176915,89.8563842887019,0.6422965770851595,-2.1976436489888305,3.6299121588203014,0.5,True,III_context_dependent,0.30195897032557983
DDX59-AS1,3,-0.9359283402524392,0.14737507087758642,3.5952241261462667,44.37064478247683,0.5557534537383206,-5.180173520948934,3.3083168404440553,0.6666666666666666,True,III_context_dependent,0.3746801406332344
RPSA,4,-0.37220248296958347,0.14605619273054735,34.184223226204814,91.22402173614327,0.2206754128296311,-2.0748545777281415,1.3304496117889748,0.75,False,III_context_dependent,0.3746801406332344
RPS28P7,3,-0.3491814829029911,0.14962543065317832,3.2850717473834474,39.11852909778924,0.07240232642848315,-1.9072677075317113,1.208904741725729,0.6666666666666666,True,III_context_dependent,0.37796007222287237
EIF1,4,0.2515273303195413,0.15868138993069958,13.83581076548953,78.3171362282371,0.0813053504900083,-0.8189738063651377,1.3220284670042204,0.75,False,III_context_dependent,0.3946690980327656
EIF1B-AS1,3,-0.46327236270831124,0.1881654313774508,4.53073388491674,55.857041026880935,0.2071971651740173,-2.939141248341651,2.0125965229250284,0.6666666666666666,True,III_context_dependent,0.4517833377131863
RPL10A,4,-0.26524269064567424,0.1973302753328443,22.467807388744642,86.64756222940177,0.13334585380884525,-1.599124280018914,1.0686388987275657,0.5,True,III_context_dependent,0.460479290829905
RPL4P4,3,-0.3821190366137484,0.19748390204663968,7.6149595545142015,73.7359077788616,0.1790363625003093,-2.60518075084882,1.8409426776213231,0.6666666666666666,True,III_context_dependent,0.460479290829905
DDX52,4,0.2434099728737171,0.19948412473197907,18.92604730091528,84.14882964043466,0.11723189220093264,-1.0023218934406972,1.4891418391881315,0.5,True,III_context_dependent,0.4607133356905231
EIF1P3,3,0.9833536190266151,0.19861313524684254,0.5862675959294238,0.0,0.0,-2.307962519551455,4.274669757604685,0.6666666666666666,True,III_context_dependent,0.4607133356905231
EIF2B4,4,0.19504955206165897,0.2036475096093957,11.279055581651056,73.40202840315419,0.06492450083111188,-0.7515154751838103,1.1416145793071282,0.5,True,III_context_dependent,0.4648114274723844
EIF2AK4,4,-0.4487756737415871,0.21319586612233843,60.26950873640718,95.02235863059593,0.4797279629228013,-2.9337293361031387,2.036177988619964,0.5,True,III_context_dependent,0.4743119039877713
DHX32,4,0.2937489240767794,0.21978301723485794,24.09625159340612,87.54993079163839,0.1900019412971373,-1.288878983924346,1.8763768320779048,0.5,True,III_context_dependent,0.4845216516313913
DDX47,4,0.5737163148530928,0.22643704859383007,15.535631386447902,80.68955213100016,0.652118550795554,-2.4067358185619305,3.5541684482681157,0.5,True,III_context_dependent,0.4935940794846648
RPS2P35,2,-0.8043772705040696,0.22695150458779434,0.39103025643161937,0.0,0.0,,,0.5,False,III_context_dependent,0.4935940794846648
RPL35,4,-0.221114234442368,0.23965717368181072,11.902897189321402,74.79605215198004,0.09562102163294868,-1.372890682203239,0.930662213318503,0.75,False,III_context_dependent,0.5044425040398968
RPS6KA4,3,-0.10916585391482676,0.23790843989986543,2.2798305278670634,12.27418110454306,0.004666651274849067,-0.6039155457400969,0.38558383791044337,0.6666666666666666,True,III_context_dependent,0.5044425040398968
RPS7P10,3,-0.3275319191388809,0.239297545194171,0.489741107282912,0.0,0.0,-1.525120894377629,0.8700570560998674,0.6666666666666666,True,III_context_dependent,0.5044425040398968
RPL21P93,2,1.218358127498187,0.24858658612551088,1.2062876520294556,17.10103321396002,0.5258098790736219,,,0.5,False,III_context_dependent,0.51304040115265
RPL3P6,2,1.5039090399067165,0.2684891877610235,1.0362215152409964,3.495537846709567,0.14276966940496816,,,0.5,False,III_context_dependent,0.538087834975605
DDX25,3,-0.8009669783512221,0.310872772725419,4.75028047823843,57.897222928999135,1.0735378166579481,-6.408037234699273,4.8061032779968285,0.6666666666666666,True,III_context_dependent,0.5983067252850327
EIF3K,4,-0.43052244371806997,0.32026186031664783,92.95098926862597,96.77249266134213,0.70099029502695,-3.4304984216358125,2.5694535341996723,0.5,False,III_context_dependent,0.6020426443936984
RPL24P4,3,-0.2147381690507318,0.3168344738445368,2.353648373470558,15.02553981540956,0.022893429363147744,-1.3442585278992003,0.9147821897977368,0.6666666666666666,True,III_context_dependent,0.6020426443936984
RPS24P19,3,-0.5803454484502282,0.31678055738729305,2.320798361645485,13.822758881044436,0.15053282720331673,-3.5817250989330125,2.4210342020325557,0.6666666666666666,True,III_context_dependent,0.6020426443936984
RPS24P8,3,-0.6174872552206644,0.31951416062448845,7.922661689188185,74.75595855961717,0.8580295378207851,-5.414141147821126,4.179166637379796,0.6666666666666666,False,III_context_dependent,0.6020426443936984
EIF3J-DT,3,-0.39640424818717923,0.32987712910603684,19.190965348676613,89.57842941372452,0.4387564964023321,-3.7410661771418394,2.948257680767481,0.6666666666666666,True,III_context_dependent,0.6039934714990481
RPL24P2,3,-0.493171851291928,0.3383144165606986,0.2582176514078359,0.0,0.0,-2.7093022792152692,1.7229585766314135,0.6666666666666666,True,III_context_dependent,0.6160639965250869
RPS3AP5,3,-0.6995490874364464,0.3391527568498932,6.140259064330465,67.42808440089685,1.070333090069425,-6.152155647619135,4.753057472746241,0.6666666666666666,False,III_context_dependent,0.6160639965250869
DDX19A-DT,3,1.0077429565996427,0.3448424799668083,9.064810765108781,77.93666021470445,2.602380008831017,-7.313684740208066,9.32917065340735,0.6666666666666666,False,III_context_dependent,0.6236253970265718
DDX1,4,0.31012077004134214,0.35270812771607307,65.13271165064722,95.39401949654558,0.4141186767169585,-1.9968173305915191,2.6170588706742035,0.75,False,III_context_dependent,0.6289108337835699
RPS2P7,3,-0.47026543690836065,0.35270875626624953,4.463357430275623,55.190682546871564,0.41711802636119577,-4.000462157008708,3.0599312831919865,0.6666666666666666,True,III_context_dependent,0.6289108337835699
DDX23,4,0.1668079279099458,0.3564227739684305,13.794192830220243,78.25171768349057,0.08463938710897168,-0.9234152801605388,1.2570311359804305,0.5,False,III_context_dependent,0.6308943261849955
RPL34P18,3,-0.37093496481652555,0.3554057814494581,1.9119230747104705,0.0,0.0,-2.097923263557193,1.3560533339241423,0.6666666666666666,True,III_context_dependent,0.6308943261849955
EIF2AK1,4,-0.23618569898392058,0.3610678793232114,32.18404397200412,90.67861079667426,0.21701749702383918,-1.9318363574073762,1.459464959439535,0.5,False,III_context_dependent,0.6321946623529152
RPL23AP64,3,0.8308347729328274,0.36555519666249636,11.403161703175417,82.46100465765505,2.0232646672005155,-6.453742224230221,8.115411770095875,0.6666666666666666,False,III_context_dependent,0.6331938227903955
RPL32P18,3,-0.2920315146170267,0.37292526884769395,3.347979214443449,40.262472617158416,0.13611392782363343,-2.41536707722502,1.8313040479909664,0.6666666666666666,True,III_context_dependent,0.6362716481061198
RPL37A-DT,3,-0.8084799560187188,0.37075405164533615,6.1580620807142035,67.52225012047876,1.6323116497073686,-7.540726797623768,5.923766885586331,0.6666666666666666,True,III_context_dependent,0.6362716481061198
RPS13P2,3,-0.5287208751143887,0.3736612274724328,3.4954588802568938,42.78290580683321,0.4790101669026496,-4.453853590639151,3.3964118404103742,0.6666666666666666,False,III_context_dependent,0.6362716481061198
RPS27AP5,3,-0.30303963027883923,0.37102330941459494,1.8844337272857745,0.0,0.0,-1.7606019268181734,1.154522666260495,0.6666666666666666,False,III_context_dependent,0.6362716481061198
RPSAP12,3,-0.5994716811897173,0.3761593998203432,5.40255596912442,62.9804853215776,0.8636410850740586,-5.547476202426252,4.3485328400468175,0.6666666666666666,False,III_context_dependent,0.6367791400824109
RPL39P3,3,-0.2234005780528245,0.3799774847839418,3.411260938332643,41.37065336967273,0.08718765643464867,-1.9005404789388294,1.4537393228331803,0.6666666666666666,True,III_context_dependent,0.6376784779246082
EIF2A,4,0.18283141611532813,0.3861823039460154,15.81221122813816,81.02732150035135,0.12901285773503557,-1.1428685168336783,1.5085313490643346,0.75,False,III_context_dependent,0.6436371732433589
RPL3P4,2,-0.9248346412047332,0.38507557128054914,8.674006337622119,88.47130194426236,2.026372811817137,,,0.5,False,III_context_dependent,0.6436371732433589
RPSAP15,3,-0.5124274463659386,0.39524978310789827,7.491216592426149,73.3020668228701,0.7822230379736262,-5.117557232746034,4.0927023400141564,0.6666666666666666,True,III_context_dependent,0.6520277034262948
EIF1P7,2,-0.6694194008005903,0.39696875222073,0.2982902384115769,0.0,0.0,,,0.5,False,III_context_dependent,0.6522268060885305
RPS2P17,3,-0.40919742637677314,0.3990016535348385,0.30999810212095963,0.0,0.0,-2.496727400302156,1.6783325475486093,0.6666666666666666,True,III_context_dependent,0.6522268060885305
RPS7P1,3,-0.20423421321056676,0.39940486888307947,3.2539180557778473,38.53563716982107,0.07548371386635093,-1.7805723329050789,1.3721039064839453,0.6666666666666666,True,III_context_dependent,0.6522268060885305
RPL30P4,2,-0.7293983974028189,0.40894673151329575,0.2698961897519202,0.0,0.0,,,0.5,False,III_context_dependent,0.6589341022722539
DDX17,4,0.24458868165312841,0.4159562044370423,50.96944635623378,94.11412088129718,0.3175955816469446,-1.7882022983106345,2.2773796616168913,0.75,False,III_context_dependent,0.6658044856500511
