gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,meta_FDR,is_translation_factor
DDX60L,2,2.336277155228471,0.5149097214866888,0.0,0.582283014963707,0.0,4.537255867849967,5.6990945032241845e-06,2,0,1.0,2.432371080715438,2.301943386769704e-05,0.729704503181375,,0.0005674483571197372,True
DDX52,2,0.6047015329234393,0.13524643613649742,0.0,0.23039385191544898,0.0,4.471108815859255,7.78150899934262e-06,2,0,1.0,0.6551761176945347,0.0004725219494674,0.52120858588155,0.491473301213517,0.0007300744451088663,True
DHX29,2,0.8280803808914616,0.2153823326444237,0.02448226108208562,1.2962692228903008,22.855531679577116,3.8446996590873854,0.00012070017750194297,2,0,1.0,0.9748369892726652,1.563354929906063e-05,0.511981843816693,0.948744834930279,0.006011663573275785,True
DDX55,2,0.6329519897534511,0.17998887782160097,0.006814947288151773,1.1148428652220967,10.301260276641585,3.516617234431631,0.0004370835900763269,2,0,1.0,0.7887067446153465,0.0013061262816256,0.424958364337623,0.880567188358822,0.01587620632308114,True
RPL39,2,-0.6072050461602166,0.18401540245217374,0.0,0.7705328648534564,0.0,-3.2997512059787026,0.0009677057664220699,0,2,1.0,-0.9984209599756276,0.0714337099315513,-0.540511623441304,0.280547641716593,0.028545287244759777,True
RPS21,2,-0.8285016853075546,0.2664981216165592,0.0007102391330071325,1.0046448510860693,0.46233761921418914,-3.1088462473278256,0.00187819430152931,0,2,1.0,-1.1817281505079786,0.017033675265972,-0.627437337581355,0.74116912490651,0.045102749268669126,True
EIF2B5,2,0.5028217852847704,0.17172575950315874,0.0145906403377734,1.266716522907302,21.055738840064084,2.928051020065638,0.0034109406873857563,2,0,1.0,0.6171419322872697,0.000763778492581,0.24486431015755597,0.999899862550801,0.06678646373504585,True
DHX15,2,0.6057183270410312,0.2109880137767093,0.056388285176754205,2.4051128401870803,58.421909222262705,2.870866056315734,0.004093489369327884,2,0,1.0,0.7642139391541203,4.286859595420798e-10,0.324852873644895,0.999899862550801,0.0751160288324732,True
RPL39L,2,-1.1812245581737488,0.43634224595634324,0.0,0.37901118422230673,0.0,-2.707105647276547,0.006787265438142287,0,2,1.0,-1.2505136023638312,0.0130579070134264,-0.139766029869729,,0.1042468150655685,True
RPL27,2,-0.5043590831306074,0.1879691253648462,0.0,0.10120958520644965,0.0,-2.683201734070164,0.0072920988605680945,0,2,1.0,-0.5648032474235871,0.0652033374775498,-0.445197428905554,0.856802849720016,0.1094990974062725,True
DDX46,2,0.4623083000258725,0.1761223338208234,0.0,0.4059861121676779,0.0,2.6249271741776825,0.008666750201156403,2,0,1.0,0.6273653983291235,0.0822634858549851,0.386011585805497,0.793158401068445,0.1232061626804,True
DDX11,2,0.8122155526498822,0.3094538622802709,0.10239915173062764,2.145038734940806,53.380795241089395,2.624674149047338,0.008673192646757068,2,0,1.0,1.1095799675718545,0.0003863940958825,0.49018074258256306,0.896938857894457,0.1232061626804,True
DDX56,2,0.4577851416593089,0.17925166368027595,0.0,0.288821483889088,0.0,2.5538683003569886,0.010653354349724687,2,0,1.0,0.5355141318440979,0.0407233369464334,0.338393792565534,0.999899862550801,0.13984549641509533,True
RPS7,2,-0.5269609038901111,0.2091802591152876,0.022465593520123405,1.3055246446197555,23.40244176001304,-2.5191712933087147,0.011763141545451562,0,2,1.0,-0.811177024710131,0.0242128759410464,-0.37300629822843007,0.829134530458773,0.1497048392477395,True
RPS6KA2,2,-1.5119067985670342,0.6119376386294201,0.4685814324240886,2.216321480033723,54.880191840004,-2.470687702677203,0.01348535276563616,0,2,1.0,-1.9362830389745904,5.351027029781955e-10,-0.629511325126473,0.999899862550801,0.1630501743481463,True
RPS11,2,-0.50251835474903,0.20444313888691037,0.0,0.7920004276671171,0.0,-2.457985909847543,0.013971865575360228,0,2,1.0,-0.9720706641950688,0.1430540320377324,-0.432018777037874,0.69604634785309,0.1672616113339118,True
RPS18,2,-0.6868498513144914,0.2887673912115846,0.037594952289179605,1.251056334869008,20.067548348675672,-2.378557524908431,0.017380524814053406,0,2,1.0,-1.094319131525381,0.0359663920194052,-0.482204715406364,0.876283797527857,0.19019574306011605,True
EIF2S3,2,-0.5518187914259302,0.2368346371379147,0.03738966462294943,1.295890345502123,22.83297707472875,-2.329975032767662,0.019807470749118438,0,2,1.0,-0.6773798064394962,0.0008819421802532,-0.105098562681463,0.999899862550801,0.20630793328449265,True
RPS19,2,-0.8542236186952918,0.3806010209702579,0.17222431116712553,2.432837784060292,58.895738690351685,-2.244407060489849,0.024806222653410166,0,2,1.0,-1.2733966722199173,0.0027302874346186,-0.508645256857458,0.860515646338543,0.2345544631048619,True
RPS6KB2,2,-0.4654551733522488,0.2081934540580071,0.008868001976038915,1.0978051575398355,8.909154495048591,-2.2356859174955765,0.02537235214134483,0,2,1.0,-0.6083917775766209,0.0209520776853342,-0.162212245847379,0.999899862550801,0.23767923991230375,True
RPS27,2,-0.827974468717573,0.3725895060669599,0.16841994410949268,2.322507000106225,56.94307918321613,-2.222216286920259,0.026268692298320764,0,2,1.0,-1.3077240503458296,0.0087212412701394,-0.538609046948866,0.511972609876797,0.24244553950445596,True
