accuracy,balanced_accuracy,f1,mcc,roc_auc,pr_auc,feature_set,model,held_out_study,n_train,n_test,n_features
0.5,0.5,0.6666666666666666,0.0,0.8844444444444445,0.8769808731573436,eif_rps_rpl,random_forest,GSE288000,15,30,448
0.5555555555555556,0.4166666666666667,0.7142857142857143,-0.25,0.0,0.5271825396825397,eif_rps_rpl,gradient_boosting,GSE278320,36,9,448
0.5,0.5,0.0,0.0,1.0,1.0,eif_rps_rpl,gradient_boosting,GSE287860,39,6,448
0.5333333333333333,0.5333333333333333,0.6818181818181818,0.18569533817705186,0.7377777777777778,0.7906971677559913,eif_rps_rpl,gradient_boosting,GSE288000,15,30,448
0.5555555555555556,0.5833333333333333,0.6,0.15811388300841897,0.5,0.7847222222222221,eif_rps_rpl,linear_svm,GSE278320,36,9,448
1.0,1.0,1.0,1.0,1.0,1.0,eif_rps_rpl,linear_svm,GSE287860,39,6,448
0.7666666666666667,0.7666666666666666,0.8108108108108109,0.6030226891555273,0.9600000000000001,0.9646241830065359,eif_rps_rpl,linear_svm,GSE288000,15,30,448
0.6666666666666666,0.5,0.8,0.0,1.0,1.0,meta_signature,elasticnet_logreg,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,meta_signature,elasticnet_logreg,GSE287860,39,6,29
0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.96,0.9678571428571427,meta_signature,elasticnet_logreg,GSE288000,15,30,29
0.6666666666666666,0.5,0.8,0.0,1.0,0.9999999999999999,meta_signature,random_forest,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,meta_signature,random_forest,GSE287860,39,6,29
0.8,0.8,0.8,0.6,0.9288888888888889,0.9399561403508772,meta_signature,random_forest,GSE288000,15,30,29
0.6666666666666666,0.5,0.8,0.0,0.5555555555555556,0.6884920634920635,meta_signature,gradient_boosting,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,meta_signature,gradient_boosting,GSE287860,39,6,29
0.5,0.5,0.6666666666666666,0.0,0.7333333333333334,0.6647058823529413,meta_signature,gradient_boosting,GSE288000,15,30,29
0.6666666666666666,0.5,0.8,0.0,1.0,1.0,meta_signature,linear_svm,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,meta_signature,linear_svm,GSE287860,39,6,29
0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.9555555555555556,0.9626797385620913,meta_signature,linear_svm,GSE288000,15,30,29
0.2222222222222222,0.16666666666666666,0.36363636363636365,-0.6324555320336759,0.0,0.5021825396825397,random_matched,elasticnet_logreg,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,random_matched,elasticnet_logreg,GSE287860,39,6,29
0.8,0.8,0.8333333333333334,0.6546536707079772,0.9155555555555557,0.9256704260651627,random_matched,elasticnet_logreg,GSE288000,15,30,29
0.6666666666666666,0.5,0.8,0.0,0.0,0.5021825396825397,random_matched,random_forest,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,random_matched,random_forest,GSE287860,39,6,29
0.5,0.5,0.6666666666666666,0.0,0.9155555555555556,0.912682731498521,random_matched,random_forest,GSE288000,15,30,29
0.0,0.0,0.0,-1.0,0.0,0.6666666666666666,random_matched,gradient_boosting,GSE278320,36,9,29
0.6666666666666666,0.6666666666666666,0.5,0.4472135954999579,1.0,1.0,random_matched,gradient_boosting,GSE287860,39,6,29
0.5,0.5,0.6666666666666666,0.0,0.5,0.5,random_matched,gradient_boosting,GSE288000,15,30,29
0.6666666666666666,0.5,0.8,0.0,0.5,0.6666666666666666,random_matched,linear_svm,GSE278320,36,9,29
1.0,1.0,1.0,1.0,1.0,1.0,random_matched,linear_svm,GSE287860,39,6,29
0.8333333333333334,0.8333333333333333,0.8571428571428571,0.7071067811865475,0.9288888888888889,0.9341191325014853,random_matched,linear_svm,GSE288000,15,30,29
