condition,n_removed,loso_balanced_accuracy,drop
baseline_translation_factors,0,0.7944444444444446,0.0
remove_top10_signature,10,0.6944444444444445,0.10000000000000009
remove_random10_matched,10,0.7777777777777779,0.01666666666666672
remove_top25_signature,25,0.6722222222222222,0.12222222222222245
remove_random25_matched,25,0.7777777777777779,0.01666666666666672
remove_top50_signature,50,0.6777777777777777,0.11666666666666692
remove_random50_matched,50,0.763888888888889,0.03055555555555567
remove_DHX_DDX,61,0.7833333333333332,0.011111111111111405
remove_ISG,1,0.7944444444444446,0.0
