gene,mean_abs_enet_coef,enet_selection_freq,mean_perm_importance,mean_abs_enet_coef_norm,mean_perm_importance_norm,ml_importance_score
EIF4ENIF1,0.2685093653026202,1.0,0.0,1.0,0.0,0.6666666666666666
EIF4G2,0.19832723867907345,1.0,0.0,0.7386231703894244,0.0,0.5795410567964748
EIF1AD,0.13443872156209039,1.0,0.0,0.5006854096525567,0.0,0.5002284698841856
DDX18,0.19377310020466912,0.6666666666666666,0.0,0.7216623523960869,0.0,0.4627763396875845
RPS6KA3,0.19263476931318127,0.6666666666666666,0.0,0.717422906631486,0.0,0.46136319109938423
RPS19P3,0.1831945225845122,0.6666666666666666,0.0,0.6822649272514015,0.0,0.4496438646393561
EIF4BP6,0.09368074210354221,1.0,0.0,0.34889189804594145,0.0,0.4496306326819805
RPS24P19,0.16588519470950594,0.6666666666666666,0.0,0.6178004052951638,0.0,0.4281556906539435
EIF1AX,0.16371019263533862,0.6666666666666666,0.0,0.6097001214495109,0.0,0.42545559603872585
DDX21,0.15993535656716854,0.6666666666666666,0.0,0.5956416320410848,0.0,0.4207694329025838
EIF4B,0.06626291997763348,1.0,0.0,0.24678066592929696,0.0,0.41559355530976566
EIF2B5,0.15056546735779983,0.6666666666666666,0.0,0.5607456826993981,0.0,0.4091374497886882
EIF2D,0.04573438441894435,1.0,0.0,0.1703269618450737,0.0,0.39010898728169124
RPL7P32,0.10598587707968267,0.6666666666666666,0.0,0.3947194801203026,0.0,0.35379538226232304
DDX24,0.08191752351531702,0.6666666666666666,0.0,0.3050825561447098,0.0,0.32391640760379214
RPL22P2,0.07855938869295387,0.6666666666666666,0.0,0.29257597255281753,0.0,0.3197475464064947
RPL14P3,0.06924026704726732,0.6666666666666666,0.0,0.25786909506575656,0.0,0.3081785872441411
RPS2P7,0.05657769176717383,0.6666666666666666,0.0,0.2107103106195519,0.0,0.2924589924287395
DDX56,0.05591163530834133,0.6666666666666666,0.0,0.2082297399397105,0.0,0.291632135535459
EIF3E,0.05479259931631006,0.6666666666666666,0.0,0.2040621534915802,0.0,0.2902429400527489
RPL7P48,0.04618268304743637,0.6666666666666666,0.0,0.17199654468434178,0.0,0.27955440378366947
EIF2S1,0.041451994926134994,0.6666666666666666,0.0,0.15437820904092872,0.0,0.2736816252358651
EIF4EBP2,0.041055485238533355,0.6666666666666666,0.0,0.15290150193555546,0.0,0.273189389534074
RPL37A-DT,0.04067730532429207,0.6666666666666666,0.0,0.15149305976142474,0.0,0.27271990880936375
RPS15P4,0.039715534056986045,0.6666666666666666,0.0,0.14791116880495075,0.0,0.2715259451572058
RPL17,0.03886246315381917,0.6666666666666666,0.0,0.14473410679742849,0.0,0.2704669244880317
DHX15,0.030418165967486307,0.6666666666666666,0.0,0.11328530732328045,0.0,0.25998399132998234
RPS27L,0.11431335729018982,0.3333333333333333,0.0,0.4257332222336243,0.0,0.25302218518898584
EIF3FP3,0.01957586205943566,0.6666666666666666,0.0,0.07290569562582268,0.0,0.2465241207641631
RPS27P29,0.08576643175168841,0.3333333333333333,0.0,0.31941690992798855,0.0,0.21758341442044063
RPS3P6,0.08036642924406041,0.3333333333333333,0.0,0.2993058702197758,0.0,0.21087973451770303
EIF4G1,0.07200995396886577,0.3333333333333333,0.0,0.2681841428052531,0.0,0.2005058253795288
DDX28,0.06420041657333646,0.3333333333333333,0.0,0.2390993569292459,0.0,0.19081089675419305
EIF3J,0.06237967671781979,0.3333333333333333,0.0,0.23231843942394909,0.0,0.18855059091909412
RPL7L1P8,0.06109121168799428,0.3333333333333333,0.0,0.22751985436017166,0.0,0.18695106256450167
