accuracy,balanced_accuracy,f1,mcc,roc_auc,pr_auc,feature_set,model,held_out_virus,n_train,n_test,n_features
0.7777777777777778,0.6666666666666666,0.8571428571428571,0.5,1.0,1.0,all_genes,elasticnet_logreg,Vaccinia,36,9,21067
0.5,0.5,0.0,0.0,0.8611111111111112,0.8322274334156262,all_genes,elasticnet_logreg,Myxoma,9,36,21067
0.6666666666666666,0.5,0.8,0.0,0.0,0.5111111111111111,all_genes,random_forest,Vaccinia,36,9,21067
0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.5555555555555556,0.12500000000000003,0.3478906785811789,all_genes,random_forest,Myxoma,9,36,21067
0.6666666666666666,0.5,0.8,0.0,0.9444444444444445,0.9761904761904762,all_genes,gradient_boosting,Vaccinia,36,9,21067
0.5,0.5,0.6666666666666666,0.0,0.30246913580246915,0.3936249811760728,all_genes,gradient_boosting,Myxoma,9,36,21067
0.6666666666666666,0.5,0.8,0.0,0.0,0.5021825396825397,all_genes,linear_svm,Vaccinia,36,9,21067
0.5,0.5,0.6666666666666666,0.0,0.30864197530864196,0.40537323962325483,all_genes,linear_svm,Myxoma,9,36,21067
0.2222222222222222,0.3333333333333333,0.0,-0.5,0.16666666666666669,0.560515873015873,translation_factors,elasticnet_logreg,Vaccinia,36,9,509
0.5,0.5,0.6666666666666666,0.0,0.30246913580246915,0.40781167847024624,translation_factors,elasticnet_logreg,Myxoma,9,36,509
0.4444444444444444,0.3333333333333333,0.6153846153846154,-0.3779644730092272,0.0,0.5140873015873015,translation_factors,random_forest,Vaccinia,36,9,509
0.5277777777777778,0.5277777777777778,0.6530612244897959,0.08032193289024989,0.5308641975308643,0.5935866985590511,translation_factors,random_forest,Myxoma,9,36,509
0.5555555555555556,0.4166666666666667,0.7142857142857143,-0.25,0.0,0.5021825396825397,translation_factors,gradient_boosting,Vaccinia,36,9,509
0.5277777777777778,0.5277777777777778,0.5853658536585366,0.05783149319662402,0.5216049382716049,0.5117047207025488,translation_factors,gradient_boosting,Myxoma,9,36,509
0.6666666666666666,0.5833333333333334,0.7692307692307693,0.1889822365046136,0.6666666666666666,0.8634920634920634,translation_factors,linear_svm,Vaccinia,36,9,509
0.4722222222222222,0.4722222222222222,0.5777777777777777,-0.06415002990995841,0.3055555555555555,0.3949955306867782,translation_factors,linear_svm,Myxoma,9,36,509
0.3333333333333333,0.25,0.5,-0.5,0.16666666666666669,0.560515873015873,dhx_ddx_helicases,elasticnet_logreg,Vaccinia,36,9,61
0.19444444444444445,0.19444444444444445,0.32558139534883723,-0.6633249580710799,0.021604938271604934,0.3222545344231169,dhx_ddx_helicases,elasticnet_logreg,Myxoma,9,36,61
0.4444444444444444,0.3333333333333333,0.6153846153846154,-0.3779644730092272,0.33333333333333337,0.6299603174603174,dhx_ddx_helicases,random_forest,Vaccinia,36,9,61
0.3055555555555556,0.3055555555555556,0.13793103448275862,-0.42211588240886905,0.21759259259259256,0.3772645379738056,dhx_ddx_helicases,random_forest,Myxoma,9,36,61
0.5555555555555556,0.4166666666666667,0.7142857142857143,-0.25,0.22222222222222224,0.5494047619047618,dhx_ddx_helicases,gradient_boosting,Vaccinia,36,9,61
0.3611111111111111,0.3611111111111111,0.25806451612903225,-0.2891574659831201,0.2067901234567901,0.37067809267262,dhx_ddx_helicases,gradient_boosting,Myxoma,9,36,61
0.4444444444444444,0.3333333333333333,0.6153846153846154,-0.3779644730092272,0.6666666666666666,0.8819444444444444,dhx_ddx_helicases,linear_svm,Vaccinia,36,9,61
0.4722222222222222,0.4722222222222222,0.0,-0.1690308509457033,0.05555555555555556,0.3271767435013362,dhx_ddx_helicases,linear_svm,Myxoma,9,36,61
0.1111111111111111,0.16666666666666666,0.0,-0.7559289460184544,0.05555555555555556,0.5160714285714285,eif_rps_rpl,elasticnet_logreg,Vaccinia,36,9,448
0.5,0.5,0.6666666666666666,0.0,0.6358024691358024,0.7133391990995646,eif_rps_rpl,elasticnet_logreg,Myxoma,9,36,448
0.3333333333333333,0.25,0.5,-0.5,0.0,0.5021825396825397,eif_rps_rpl,random_forest,Vaccinia,36,9,448
0.5277777777777778,0.5277777777777778,0.6666666666666666,0.10050378152592121,0.5401234567901234,0.6224664764509842,eif_rps_rpl,random_forest,Myxoma,9,36,448
0.5555555555555556,0.4166666666666667,0.7142857142857143,-0.25,0.0,0.5271825396825397,eif_rps_rpl,gradient_boosting,Vaccinia,36,9,448
0.5,0.5,0.625,0.0,0.3580246913580247,0.4283813153843489,eif_rps_rpl,gradient_boosting,Myxoma,9,36,448
0.5555555555555556,0.5833333333333333,0.6,0.15811388300841897,0.5,0.7847222222222221,eif_rps_rpl,linear_svm,Vaccinia,36,9,448
0.5,0.5,0.625,0.0,0.4537037037037038,0.47929279060114244,eif_rps_rpl,linear_svm,Myxoma,9,36,448
0.6666666666666666,0.5,0.8,0.0,1.0,1.0,meta_signature,elasticnet_logreg,Vaccinia,36,9,29
0.5,0.5,0.0,0.0,0.9259259259259259,0.9246935099644079,meta_signature,elasticnet_logreg,Myxoma,9,36,29
0.6666666666666666,0.5,0.8,0.0,1.0,0.9999999999999999,meta_signature,random_forest,Vaccinia,36,9,29
0.5,0.5,0.0,0.0,0.9891975308641976,0.988090050835149,meta_signature,random_forest,Myxoma,9,36,29
0.6666666666666666,0.5,0.8,0.0,0.5555555555555556,0.6884920634920635,meta_signature,gradient_boosting,Vaccinia,36,9,29
0.5,0.5,0.0,0.0,0.8441358024691358,0.7989247311827958,meta_signature,gradient_boosting,Myxoma,9,36,29
0.6666666666666666,0.5,0.8,0.0,1.0,1.0,meta_signature,linear_svm,Vaccinia,36,9,29
0.5,0.5,0.0,0.0,0.9012345679012346,0.8918516069509362,meta_signature,linear_svm,Myxoma,9,36,29
0.2222222222222222,0.16666666666666666,0.36363636363636365,-0.6324555320336759,0.0,0.5021825396825397,random_matched,elasticnet_logreg,Vaccinia,36,9,29
0.5,0.5,0.0,0.0,0.7839506172839505,0.8514782436272001,random_matched,elasticnet_logreg,Myxoma,9,36,29
0.6666666666666666,0.5,0.8,0.0,0.0,0.5021825396825397,random_matched,random_forest,Vaccinia,36,9,29
0.5277777777777778,0.5277777777777778,0.19047619047619047,0.10050378152592121,0.5555555555555556,0.6065687679946626,random_matched,random_forest,Myxoma,9,36,29
0.0,0.0,0.0,-1.0,0.0,0.6666666666666666,random_matched,gradient_boosting,Vaccinia,36,9,29
0.5555555555555556,0.5555555555555556,0.5294117647058824,0.11180339887498948,0.5324074074074074,0.5396274250440918,random_matched,gradient_boosting,Myxoma,9,36,29
0.6666666666666666,0.5,0.8,0.0,0.5,0.6666666666666666,random_matched,linear_svm,Vaccinia,36,9,29
0.5,0.5,0.0,0.0,0.7716049382716049,0.7980442735241096,random_matched,linear_svm,Myxoma,9,36,29
