top_n_removed,signature_drop,random_drop_mean,random_drop_sd,signature_worse_than_pct_random,empirical_p,n_permutations
10,0.10000000000000009,0.012938888888888939,0.025304783498406726,99.6,0.004995004995004995,1000
25,0.12222222222222245,0.015933333333333428,0.031768149279458785,99.8,0.002997002997002997,1000
50,0.11666666666666692,0.01970000000000013,0.0405212503310925,98.8,0.012987012987012988,1000
