metric,point_estimate,ci_lo,ci_hi
balanced_accuracy,0.7886904761904763,0.6701638655462185,0.8981481481481481
roc_auc,0.884920634920635,0.7590815789473684,0.982213658322354
pr_auc,0.8786949050672439,0.723781142431294,0.987770623616763
f1,0.8363636363636363,0.7082720588235295,0.9333333333333333
mcc,0.6222040820213273,0.400186283454157,0.8044973614169566
