relative_path,size_bytes,sha256
results/mechanistic/string_priority_network.svg,107117,8862d118391f3718498b6c608fe1ba0d3e468cdaeee570e8f53e996c343d1c8b
results/mechanistic/top_mechanistic_candidates.csv,18758,61e10480f1766dc2c692ebad71e9587c1ab89958bf7095d5a45cd618cea2816c
results/mechanistic/translation_targets_biotype_audit.csv,122665,7a175982844d0830af958f0e62c23ebee119f56ce3bacd1a6d2d1a86c6f5dc22
results/mechanistic/viral_load_by_sample.csv,1609,c156cb8a86bb2be2f554ea6e5d41d7fa7ca61e825d54724fbfc7c06263e71328
results/meta/GSE287860_translation_targets.csv,92557,44975397ba579f7c09e9e337f2f5e5875d171b9ed451fca0c0d3a814638b0016
results/meta/GSE288000_NTC_translation_targets.csv,59366,504afe4f5563c33e8649b7af301c3b929691a1c2b9255b986c11b4771516f588
results/meta/cross_dataset_pilot_registry.csv,484,ddaa682329e94d5559ba4900390c172accbd6b525ec6868e84ee68668071119b
results/meta/poxvirus_translation_factor_meta_signature.csv,78385,c922c471976d782f1af8cb281040fdc0039b332ddd656d013d35dd7fa209ac21
results/meta/poxvirus_translation_factor_meta_signature.pdf,26387,d79dcb8b2d689ba54b3bce7eab6229c53a9151554479ef6b05d41db14213cd90
results/meta/poxvirus_translation_factor_meta_signature.png,167004,6d490a91f4de2f801bf95b2bade66c0bee4b04b8f8700199de3396ad9c4a43c6
results/meta/poxvirus_translation_factor_meta_signature.svg,88662,4e9d6a58b3116f5586aa2dbcd3f47c7fd99cccb74e0a47609bf448ec78c0fd86
results/sensitivity/dge_results_strict_titles.csv,2946171,1df07e603eadc8010d97553f7b6189aab176b8a58ae6d884ac91856a6aee0923
results/sensitivity/sensitivity_primary_vs_strict_translation.csv,130937,fb7fe2c7f6acb9e0433e5b8b06b2346ae55c020518f1ccc5f84771b3f4c400e8
results/sensitivity/translation_factors_all_strict_titles.csv,66684,4f561b472df3af69960509fcccb0af946985fe9585c15c66db33da7baf636c2c
results/sensitivity/translation_factors_impact_strict_titles.csv,20465,1ce6e7a5669fd158900b3660b498a1c58615022f2b2715614235e369a4b02426
results/tables/dge_results_full.csv,3153177,6c7310a3a541df68fe7cd3951e1b9b788a098869262c22dd42282641bf1fd9c3
results/tables/translation_factors_all.csv,71906,08ef9fbffbf0c69bfe4de987b4b91f2e43aa9372bb2339ba7a60367f74e3e2b9
results/tables/translation_factors_impact.csv,28652,074750503df75ab0b36fe014040a7a5924224cd6c56abc09547e2dc7654127c6
scripts/01_fetch_data.py,9916,49dadd8bf5198f9334f2349388a5dd3e06f9392561b1d73e3d4c8e8d61b7db67
scripts/02_preprocess_counts.py,2980,84406afbb5c37fb2f3b61720921e53ea4b5892d25476aa1bec2be84ef6354d91
scripts/03_run_pydeseq2.py,2763,817a5c5ba3d70520de0a0bfce857a87ce0233db7331250c8d94ea5481642e093
scripts/04_analyze_translation_factors.py,1685,d915796272927486388c7039a2be4a373dac1107a24af3a6f74126297a5acfe2
scripts/05_generate_figures.py,6784,f67448504fdddb028931a6a4e3c6cd4545f823f3cebd15305cfabdafbb94c6ff
scripts/06_run_sensitivity_analysis.py,6816,b7db75197ecfb483b4f4db430ea7fdf86fe1f5b4941a7dfc897c408c9677e15e
scripts/07_generate_validation_report.py,15985,66a45d846919891cefdd6390414d3a9ec9bef055825cba6ad731e35799cd90c4
scripts/08_prepare_release.py,30703,3527a38281da24af8c0f58eef96f1ef5e97168a34d982c0cfe97a651c33365ff
scripts/09_discover_public_datasets.py,3097,dc83633b818bfd92fca12c72f4a3c76f632e7a6b4a8ae3cdfd58664037336559
scripts/10_run_cross_dataset_pilot.py,10500,56041bcc917a483de26e8808e18686bcf4d9666fb8faaa1348b03b793bf0568a
scripts/11_run_mechanistic_prioritization.py,33826,118944e8b650470e3a8ea0347744dee5209c5a2e7c33cbdcf1919450f9180454
