gene,module,meta_FDR,pooled_log2FC,k_studies,direction_concordance,het_class,loso_robust,ml_importance,degree_centrality,external_support_GSE185520,s_meta,s_concord,s_loso,s_ml,s_net,s_module,s_external,final_evidence_score,evidence_tier
DDX55,DHX/DDX helicase,1.2994886280596205e-12,0.578179790645686,4,1.0,I_conserved_low_het,True,0.0,0.0,0.6666666666666666,0.6442784812956157,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,5.777362869905706,Tier 2 (corroborated)
EIF1AD,other eIF,0.0038961530880594,0.8435337098054513,4,1.0,II_conserved_high_het,True,0.5003589718791027,0.23076923076923078,0.0,0.13057410011766898,1.0,1.0,0.7505384578186541,0.2727272727272727,1.0,0.0,5.73660307502239,Tier 1 (triangulated)
RPL28,60S ribosomal,0.0344239342903917,-0.7377388372322599,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,0.6666666666666666,0.07928290391272139,1.0,1.0,0.0,0.818181818181818,1.0,0.6666666666666666,5.592146653721197,Tier 1 (triangulated)
EIF3F,eIF3 complex,0.0017788126029576,-0.4953485963650202,4,1.0,II_conserved_high_het,True,0.0,0.34615384615384615,1.0,0.1490316128263929,1.0,1.0,0.0,0.409090909090909,1.0,1.0,5.486215395702346,Tier 1 (triangulated)
RPS17,40S ribosomal,0.2177180909155384,0.8940213930598903,4,0.75,II_conserved_high_het,True,0.1330267956327127,0.8461538461538463,0.3333333333333333,0.03586192598215022,0.75,1.0,0.19954019344906904,1.0,1.0,0.3333333333333333,5.447068535186847,Tier 1 (triangulated)
RPS6KA3,40S ribosomal,0.0493408387110214,0.4690579409660592,4,1.0,II_conserved_high_het,True,0.4613487846555922,0.0,0.3333333333333333,0.07080798634580981,1.0,1.0,0.6920231769833883,0.0,1.0,0.3333333333333333,5.394399653164634,Tier 1 (triangulated)
RPL17,60S ribosomal,0.038220366736014,0.8152802052688791,4,0.75,II_conserved_high_het,True,0.2704142899543958,0.6923076923076923,0.0,0.07682008249032252,0.75,1.0,0.40562143493159375,0.818181818181818,1.0,0.0,5.355565803361721,Tier 1 (triangulated)
RPS19P3,40S ribosomal,0.0005674763218145,-1.2615105067485606,3,1.0,I_conserved_low_het,True,0.4496000664812451,0.0,,0.1759277582649504,1.0,1.0,0.6744000997218678,0.0,1.0,0.0,5.288619595106112,Tier 1 (triangulated)
DHX36,DHX/DDX helicase,7.241904921354015e-09,0.4236456159140077,4,1.0,I_conserved_low_het,True,0.0,0.0,0.6666666666666666,0.44121785110684175,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,5.269711294433772,Tier 2 (corroborated)
EIF3L,eIF3 complex,0.0324556137642853,-0.7935812728345537,4,1.0,II_conserved_high_het,True,0.0,0.3076923076923077,1.0,0.08066899215737307,1.0,1.0,0.0,0.3636363636363636,1.0,1.0,5.247127025847979,Tier 1 (triangulated)
