context,GSE185520 D9muD10mu 18hr,GSE185520 WT 18hr,GSE185520 WT 6hr,GSE278320 VacV,GSE284044 6hpi,GSE287860 M003,GSE288000 NTC
GSE185520 D9muD10mu 18hr,1.0,0.4203494324834341,0.5481923980354474,0.41409593161153485,0.4770087264741577,0.08139381824526817,0.10633020705721688
GSE185520 WT 18hr,0.4203494324834341,1.0,0.41879339300863966,0.2807794994954076,-0.10767082121323034,-0.22168755789897204,-0.3810059360036264
GSE185520 WT 6hr,0.5481923980354474,0.41879339300863966,1.0,0.26156054649178795,0.41124231858372984,0.21422999830954623,0.10842172307639342
GSE278320 VacV,0.41409593161153485,0.2807794994954076,0.26156054649178795,1.0,0.44661247134518695,0.05982645187975533,0.14489455386174022
GSE284044 6hpi,0.4770087264741577,-0.10767082121323034,0.41124231858372984,0.44661247134518695,1.0,0.45053637087297677,0.5072181233264625
GSE287860 M003,0.08139381824526817,-0.22168755789897204,0.21422999830954623,0.05982645187975533,0.45053637087297677,1.0,0.6818401257766062
GSE288000 NTC,0.10633020705721688,-0.3810059360036264,0.10842172307639342,0.14489455386174022,0.5072181233264625,0.6818401257766062,1.0
