module,n_genes,pct_up_meta,pct_concordant,median_pooled_lfc,sig_meta_FDR05
DHX helicases,16,81.25,79.6875,0.3779672590896198,7
DDX helicases,40,87.5,75.625,0.30944428989422357,12
EIF factors,70,65.71428571428571,73.33333333333331,0.18566563726357577,12
RPL ribosomal,119,11.76470588235294,88.30532212885154,-0.362372730473932,16
RPS ribosomal,80,21.25,83.64583333333331,-0.32201158276674896,10
