gene,program,direction,pooled_log2FC,meta_FDR,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,community,hub_score
DTNA,other,up,1.638,8.42981015476141e-75,89,0.3921,0.0095,0.1252,0,0.9561403508771931
DBP,other,down,-1.837,5.382297231282176e-106,82,0.3612,0.0051,0.1179,1,0.9517543859649122
BTN3A2,other,down,-2.218,1.3632936214415315e-36,99,0.4361,0.0115,0.138,1,0.9407894736842106
LARP4,other,up,1.036,2.1975238894234585e-45,82,0.3612,0.0134,0.1085,0,0.9210526315789473
DSE,other,up,1.339,2.2079549244557807e-32,84,0.37,0.0049,0.1179,0,0.9035087719298245
ABHD4,other,down,-1.042,7.997431443748948e-46,74,0.326,0.0177,0.0893,1,0.8925438596491229
IL6,Inflammatory/NF-kB,up,5.129,1.1916345460144722e-79,68,0.2996,0.0156,0.0907,0,0.8837719298245614
GALM,other,down,-1.775,5.403538617838279e-34,73,0.3216,0.0061,0.1015,1,0.875
SATB1,other,down,-0.901,2.8299105349330793e-26,79,0.348,0.0039,0.1153,1,0.8706140350877193
MACC1,other,up,3.649,6.115876849336992e-134,62,0.2731,0.003,0.0913,0,0.8662280701754386
ABTB1,other,down,-1.501,1.9424198767252068e-21,96,0.4229,0.0153,0.1296,1,0.8640350877192983
LENG9,other,up,2.001,1.116396363010542e-20,95,0.4185,0.0095,0.1354,0,0.8596491228070176
KMT5C,other,down,-0.958,4.372665532879087e-22,89,0.3921,0.0089,0.1242,1,0.8596491228070176
MAFB,other,up,1.971,6.043108196526455e-28,69,0.304,0.0044,0.1027,0,0.8486842105263158
AMD1,other,up,0.907,6.831109868888542e-43,66,0.2907,0.003,0.096,0,0.8486842105263157
ARHGAP11A,other,down,-0.998,1.1539462425378912e-21,80,0.3524,0.0052,0.1188,1,0.8421052631578947
C1ORF216,other,up,1.19,7.15923844649674e-51,63,0.2775,0.0238,0.0759,0,0.8421052631578947
PTPRC,other,up,1.4,3.4267440025198155e-25,74,0.326,0.0158,0.0969,0,0.8388157894736842
SNX29,other,down,-0.929,6.2337520441540726e-27,68,0.2996,0.0225,0.0971,1,0.8333333333333333
SIK1,other,up,3.133,8.526430232544823e-72,57,0.2511,0.0098,0.0724,0,0.8333333333333333
MCCC1,other,down,-0.681,5.417660824892802e-19,95,0.4185,0.011,0.1273,1,0.8201754385964912
TNFRSF10D,other,up,2.948,0.0,49,0.2159,0.0031,0.0732,0,0.8201754385964912
ARAP2,other,up,1.072,2.2126665381100647e-41,58,0.2555,0.0057,0.0736,0,0.8135964912280702
KBTBD8,other,up,1.657,1.9312402515496112e-19,85,0.3744,0.0097,0.1183,0,0.8114035087719298
PIK3IP1,other,down,-2.336,7.545826467983926e-22,72,0.3172,0.0172,0.1019,1,0.8114035087719298
RECQL5,other,down,-0.68,7.919163339716251e-20,80,0.3524,0.0058,0.1187,1,0.8092105263157895
APBA1,other,down,-1.17,9.895247283212932e-24,68,0.2996,0.0012,0.0921,1,0.8004385964912282
TAF13,other,up,1.231,6.409539367494917e-18,91,0.4009,0.0094,0.1308,0,0.7982456140350878
THBS1,other,up,2.899,2.1468727327807392e-64,49,0.2159,0.0041,0.0678,0,0.7982456140350878
PSMB8-AS1,other,down,-1.303,4.464829754900475e-23,66,0.2907,0.0025,0.0979,1,0.7916666666666667
CTDSP2,other,down,-0.622,2.550181849191883e-18,79,0.348,0.0023,0.1172,1,0.7785087719298245
DHX15,RNA helicase,up,0.746,3.559513728282982e-19,78,0.3436,0.0264,0.0807,0,0.7719298245614035
ARPC5L,other,up,0.96,2.966043629195278e-26,57,0.2511,0.0065,0.0673,0,0.7719298245614035
C16ORF86,other,down,-1.473,5.241353828465191e-20,71,0.3128,0.0214,0.0893,1,0.7675438596491229
MARS2,other,up,0.92,7.082711801169899e-29,51,0.2247,0.0074,0.0676,0,0.7653508771929824
NIPBL-DT,other,up,1.459,3.9130782069578625e-43,44,0.1938,0.0104,0.0532,0,0.763157894736842
KIF11,Cell cycle/mitosis,down,-1.03,3.6211229692729104e-16,93,0.4097,0.0043,0.1348,1,0.756578947368421
GNAL,other,down,-1.642,1.0047415291398514e-17,76,0.3348,0.0071,0.1154,1,0.7554824561403508
CCDC28A,other,down,-0.957,1.1690172904212391e-19,70,0.3084,0.0204,0.0877,1,0.7543859649122807
CXCL8,Inflammatory/NF-kB,up,2.264,1.1801285362515425e-134,33,0.1454,0.0009,0.0425,0,0.7521929824561404
FOXM1,Cell cycle/mitosis,down,-0.995,9.743593594299911e-21,57,0.2511,0.0049,0.0886,1,0.7390350877192983
TIFA,other,up,0.904,2.1806047508022712e-26,45,0.1982,0.0027,0.0679,0,0.736842105263158
CREB3L4,other,down,-1.542,1.110004411958438e-14,112,0.4934,0.0137,0.1566,1,0.7346491228070176
C16ORF74,other,down,-3.015,1.4117355903707754e-14,111,0.489,0.0097,0.155,1,0.7258771929824561
MVP,other,up,1.039,3.599044519089491e-53,30,0.1322,0.0042,0.0294,0,0.7149122807017544
CD24,other,down,-1.45,1.049518851246255e-33,37,0.163,0.0006,0.0465,1,0.7127192982456141
ATP2A2,other,up,0.749,4.422590495444027e-26,42,0.185,0.0041,0.0498,0,0.7094298245614035
SH3BP1,other,up,1.191,1.9664153520984512e-27,37,0.163,0.0082,0.0499,0,0.7050438596491229
DPP9,other,up,0.778,8.1157317472844845e-16,76,0.3348,0.0132,0.1033,0,0.7039473684210527
MCTP1,other,up,1.367,5.5373408104543634e-14,96,0.4229,0.004,0.1362,0,0.7017543859649122
PLK1,Cell cycle/mitosis,down,-0.893,1.5218719913224786e-17,66,0.2907,0.0031,0.0966,1,0.7017543859649122
MYLK,other,down,-1.564,3.216644409860691e-20,52,0.2291,0.0043,0.0625,1,0.6885964912280702
AMPD3,other,up,1.724,9.673132571929743e-38,27,0.1189,0.0015,0.0351,0,0.6820175438596492
RGMA,other,down,-1.482,6.746453232744906e-16,70,0.3084,0.0059,0.0929,1,0.6798245614035088
WNT5B,other,down,-1.897,2.5235269960627323e-19,51,0.2247,0.0009,0.0796,1,0.6798245614035088
TYMP,other,up,1.703,7.896686142312228e-45,25,0.1101,0.005,0.0288,0,0.6798245614035088
KIZ,other,down,-1.019,1.5678719578957352e-14,81,0.3568,0.0134,0.1117,1,0.6776315789473684
REL,Inflammatory/NF-kB,up,1.312,1.2156483429728533e-18,56,0.2467,0.016,0.0692,0,0.6754385964912281
LRFN1,other,down,-0.828,3.8355247363330833e-13,90,0.3965,0.0179,0.1224,1,0.6688596491228069
FERMT3,other,up,1.606,1.3341822978480832e-141,20,0.0881,0.0024,0.0172,0,0.6666666666666666
AURKB,Cell cycle/mitosis,down,-1.092,2.9761851008838215e-17,57,0.2511,0.004,0.0806,1,0.6578947368421053
SRFBP1,other,up,0.978,1.2837099354120926e-22,33,0.1454,0.0135,0.0429,0,0.6535087719298246
MDK,other,down,-1.305,1.870669770616968e-25,28,0.1233,0.0023,0.0311,1,0.6491228070175439
NDRG1,other,down,-0.999,3.691084049640655e-36,23,0.1013,0.0002,0.0309,1,0.6491228070175439
ALDH5A1,other,down,-1.351,1.9458700383735652e-17,55,0.2423,0.004,0.0697,1,0.6469298245614035
NCAPD2,other,down,-0.719,6.672232514551485e-13,80,0.3524,0.0075,0.1191,1,0.6359649122807017
NOP58,other,up,0.975,5.140598214043241e-15,68,0.2996,0.0279,0.0866,0,0.6337719298245614
CCL2,Inflammatory/NF-kB,up,3.827,1.2996213938204093e-19,40,0.1762,0.005,0.0536,0,0.6337719298245614
RAC2,other,up,1.224,5.910974402101729e-85,14,0.0617,0.0,0.0191,0,0.6293859649122807
PTK7,other,down,-0.684,1.1913774173621112e-15,58,0.2555,0.0059,0.0864,1,0.6271929824561404
C11ORF68,other,down,-0.738,3.430333444822813e-16,57,0.2511,0.0071,0.0658,1,0.625
CLOCK,other,up,0.727,1.3406882617137403e-20,31,0.1366,0.0041,0.0327,0,0.6228070175438596
FAM53B,other,down,-1.499,7.1718445675603235e-12,112,0.4934,0.0197,0.1536,1,0.618421052631579
ZNF749,other,up,1.108,9.68053178316654e-19,38,0.1674,0.0031,0.0479,0,0.611842105263158
SCFD1,other,up,0.694,5.122957248664697e-20,29,0.1278,0.001,0.0376,0,0.6074561403508771
GPX3,other,down,-1.23,1.9808423756726904e-24,23,0.1013,0.0015,0.0274,1,0.6074561403508771
USF1,other,down,-0.507,3.2451420772806286e-14,64,0.2819,0.0026,0.0972,1,0.5986842105263158
ICAM1,Inflammatory/NF-kB,up,2.391,3.2543143779134726e-24,22,0.0969,0.0002,0.0309,0,0.5986842105263157
NDUFC1,other,down,-0.66,1.2102322704331478e-11,105,0.4626,0.0093,0.1428,1,0.5964912280701754
ADAM19,other,down,-1.041,1.2820668162489253e-12,74,0.326,0.0066,0.1079,1,0.5942982456140351
JARID2,other,down,-0.541,5.829849085657317e-13,69,0.304,0.0083,0.0996,1,0.5942982456140351
BCL10,other,up,0.717,1.7042735779818548e-20,25,0.1101,0.0096,0.0332,0,0.587719298245614
TDO2,other,up,3.803,1.4562258391609056e-29,15,0.0661,0.0001,0.0197,0,0.5855263157894737
PPP4R1,other,up,0.634,2.268341094716409e-24,19,0.0837,0.0,0.0222,0,0.5789473684210527
PROX1,other,up,1.658,2.4235009588198933e-14,56,0.2467,0.0119,0.0714,0,0.5701754385964912
SNHG6,other,down,-0.596,8.3258753724318e-15,52,0.2291,0.0277,0.0631,1,0.569078947368421
AGO2,other,up,0.849,1.8699819148182483e-16,44,0.1938,0.0243,0.0365,0,0.5679824561403508
CYB561A3,other,up,1.024,7.430187875368348e-38,11,0.0485,0.0088,0.0067,0,0.5679824561403508
CSPG4,other,down,-1.5,3.7878330636133593e-13,59,0.2599,0.0028,0.0831,1,0.5635964912280702
DVL2,other,down,-0.585,6.429926164013155e-13,63,0.2775,0.0083,0.0933,1,0.5548245614035088
SH3BP5L,other,down,-0.575,5.713065845482054e-13,62,0.2731,0.0009,0.0903,1,0.5548245614035088
LMBRD1,other,down,-0.67,8.504497554234411e-15,49,0.2159,0.0031,0.0625,1,0.5548245614035088
SELENOS,other,up,0.805,2.8562127517063313e-22,19,0.0837,0.0027,0.0163,0,0.5526315789473684
SIRT3,other,down,-0.783,2.2276499126741724e-15,41,0.1806,0.0036,0.0553,1,0.5460526315789473
CA11,other,down,-1.171,1.0171838990402016e-11,76,0.3348,0.0091,0.1037,1,0.543859649122807
TPX2,other,down,-0.823,4.6882079750848475e-17,32,0.141,0.001,0.043,1,0.543859649122807
CPEB3,other,up,1.814,6.351705497209629e-11,102,0.4493,0.0187,0.129,0,0.5438596491228069
LRRC45,other,down,-0.79,1.1494514093540937e-13,52,0.2291,0.0096,0.0726,1,0.5394736842105263
ALDH1L2,other,up,1.844,7.680725748670598e-14,50,0.2203,0.0073,0.0719,0,0.5361842105263157
DSEL,other,up,2.401,4.350147300950535e-11,85,0.3744,0.0031,0.1201,0,0.5307017543859649
NOM1,other,up,0.685,3.311053321876495e-20,22,0.0969,0.0025,0.008,0,0.5285087719298246
IDE,other,up,0.621,4.405785896444163e-17,32,0.141,0.0117,0.019,0,0.5263157894736843
HDAC5,other,down,-0.806,2.8668080213444567e-11,77,0.3392,0.0004,0.1168,1,0.5241228070175439
RRP15,other,up,1.045,8.942744354453284e-19,20,0.0881,0.0001,0.0258,0,0.5219298245614035
ATAD3B,other,up,1.205,2.821555776112621e-17,27,0.1189,0.017,0.0206,0,0.5175438596491229
PSMB9,other,down,-0.741,4.264286397725676e-18,22,0.0969,0.0004,0.0288,1,0.5175438596491229
THYN1,other,down,-0.667,1.2799568079678152e-15,29,0.1278,0.0001,0.0374,1,0.506578947368421
FLI1,other,down,-0.508,4.3389394589629737e-17,24,0.1057,0.0033,0.0318,1,0.506578947368421
TCF12,other,up,0.513,4.039860591907179e-18,23,0.1013,0.0036,0.0108,0,0.506578947368421
E2F3,other,up,0.535,7.589399428206381e-18,22,0.0969,0.0019,0.0171,0,0.506578947368421
SEC23IP,other,up,0.577,3.9870447240327054e-20,17,0.0749,0.007,0.0067,0,0.5043859649122807
KIF22,other,down,-0.609,6.414204427182664e-12,64,0.2819,0.0034,0.0927,1,0.5021929824561404
FOXO4,other,down,-1.246,8.232500745380934e-12,66,0.2907,0.0029,0.0946,1,0.5
CDC20,Cell cycle/mitosis,down,-1.104,1.7801853612564975e-14,37,0.163,0.0007,0.0493,1,0.4956140350877193
AMZ2,other,down,-0.659,2.153552477579424e-12,57,0.2511,0.0152,0.0639,1,0.493421052631579
ISG20L2,other,up,0.632,1.5205910673572236e-20,11,0.0485,0.0,0.0144,0,0.4934210526315789
TMEM185B,other,up,0.687,2.0525197731296182e-24,7,0.0308,0.0079,0.0035,0,0.49122807017543857
SYT1,other,up,1.265,6.771881639265915e-57,1,0.0044,0.0,0.0,0,0.49122807017543857
EMILIN1,other,up,0.963,2.2887221114891473e-43,1,0.0044,0.0,0.0005,2,0.48355263157894735
GRPEL2,other,up,0.795,2.24474194284955e-17,20,0.0881,0.001,0.0236,0,0.4824561403508772
BEND4,other,up,1.326,8.501964195343359e-11,77,0.3392,0.0071,0.1092,0,0.4758771929824561
