gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,is_translation_factor
CHORDC1,CHORDC1,1797.79463172304,3.98091884456248,0.242587752706443,16.4102218687842,1.61613803426096e-60,2.5875986066552197e-56,True,False
PEG10,PEG10,1057.58494183243,-4.1676839540516,0.349708680707393,-11.9175879352528,9.584328758291569e-33,7.67273438745032e-29,True,False
STAT1,STAT1,1726.73415420269,-3.5709802362435,0.30362326004133,-11.7612209148845,6.18336179145009e-32,3.30006018809691e-28,True,False
S100A1,S100A1,408.815352882181,-3.37296460431475,0.303515155383687,-11.1130022487702,1.08450801260554e-28,4.34101444745681e-25,True,False
CTSB,CTSB,564.203138302213,-2.48821516252729,0.225842124301486,-11.0174980430386,3.14684344066746e-28,1.00768220657053e-24,True,False
ATP1B1,ATP1B1,366.481181830806,-2.61611972459531,0.240795856109461,-10.8644715356151,1.70205735697869e-27,4.54194005709765e-24,True,False
GRN,GRN,645.743421039617,-2.59416807738323,0.241296779262609,-10.7509436525049,5.86584011834644e-27,1.34168523049778e-23,True,False
CDH6,CDH6,1759.17207249813,-3.42754493908532,0.326927661195823,-10.4841080945803,1.0220541658253401e-25,2.04551365612869e-22,True,False
BCAM,BCAM,368.196539644659,-3.61641337362591,0.348772810201316,-10.3689658936959,3.43218742587067e-25,6.10586143062392e-22,True,False
HSPH1,HSPH1,1514.38599101055,3.30391480455391,0.319310043378039,10.3470431734661,4.31609990887354e-25,6.910507564097419e-22,True,False
BICC1,BICC1,1395.90334514908,-2.0968263967396,0.202907389481532,-10.3339084993277,4.9501529602665e-25,7.20517264062063e-22,True,False
EFEMP1,EFEMP1,256.673368265103,-3.8999265003616,0.380460430738846,-10.2505443017767,1.17678974060683e-24,1.57013171140467e-21,True,False
CALM3,CALM3,549.07606973894,-2.81970564962939,0.277360909030733,-10.166197030011,2.80653191638167e-24,3.45656788562976e-21,True,False
TBL1X,TBL1X,749.120941586279,-2.88862099887025,0.285146954723626,-10.1302887897575,4.05450191248857e-24,4.63690215148961e-21,True,False
TMEM59,TMEM59,245.031260036963,-2.50488701892479,0.251885646749974,-9.94454051370059,2.66400580512281e-23,2.8435597963880904e-20,True,False
SDC2,SDC2,552.045156225056,-3.16065184108617,0.321615184816666,-9.82743349909885,8.577687645473591e-23,8.58358480572985e-20,True,False
PDIA3,PDIA3,349.65287785145,-2.90423792648507,0.298456141467187,-9.73087004411458,2.22680089558884e-22,2.0972534787807602e-19,True,False
LAMC1,LAMC1,837.536903891203,-2.14126108761886,0.220916327439815,-9.69263391454038,3.2406162569938003e-22,2.88252816059599e-19,True,False
COX5B,COX5B,279.872168341098,-2.88406389839429,0.300358468349487,-9.60207286394366,7.8352556788572695e-22,6.602646246009671e-19,True,False
LOC103221664,LOC103221664,216.845485206335,-2.69678137486512,0.286098985346169,-9.42604312840226,4.25851352821386e-21,3.40915300501161e-18,True,False
B2M,B2M,388.521368116034,-3.05907811691297,0.326444493464915,-9.37089820215255,7.19178702947608e-21,5.4832239109019695e-18,True,False
CTSA,CTSA,203.420187131089,-2.74782939178392,0.294855060753709,-9.31925463568412,1.17160440572973e-20,8.46030091561023e-18,True,False
ERVH48-1,ERVH48-1,287.943815560619,-2.90271941747284,0.31175676233396,-9.31084668618476,1.26817326821963e-20,8.46030091561023e-18,True,False
KDELR2,KDELR2,344.835371643399,-2.0648024828283,0.221664516943728,-9.31498875551863,1.2196545795835201e-20,8.46030091561023e-18,True,False
HERC4,HERC4,568.42921987041,2.80870795205621,0.30228733067556,9.29151726530923,1.52104354543201e-20,9.74137128236474e-18,True,False
PDIA4,PDIA4,2485.97879926077,-3.18680389771386,0.343602062728134,-9.27469373266056,1.78130053811292e-20,1.09693857368177e-17,True,False
ALDH1A1,ALDH1A1,412.497431999164,-3.9969636956792,0.432658679053411,-9.23814519201122,2.50807019623585e-20,1.48728562636786e-17,True,False
MAP7D2,MAP7D2,153.654879481567,5.37731864284376,0.589988401519123,9.11427856716852,7.919560896114e-20,4.52857462527433e-17,True,False
CCNT2,CCNT2,461.499053850719,1.91638483928556,0.210562362124402,9.10126966638676,8.92819005462042e-20,4.92928451601819e-17,True,False
LOC103244328,LOC103244328,154.163102551741,-3.54288235541501,0.392118778755984,-9.03522745494357,1.63661713256138e-19,8.734625636480091e-17,True,False
TXNDC5,TXNDC5,330.302150422013,-3.09697537156336,0.345176433032002,-8.97215184814262,2.90777179749948e-19,1.50181723386336e-16,True,False
