gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,is_translation_factor
MAFF,MAFF,386.640942597727,2.18722893996014,0.361815932493138,6.04514269144745,1.49277826612794e-09,1.7677480227487e-05,True,False
FOSL1,FOSL1,189.083768395225,2.68304240382114,0.458222678830781,5.85532433852312,4.76079987418504e-09,2.81886960550496e-05,True,False
MYC,MYC,757.486282616983,1.74405999711902,0.333741367400115,5.22578309876735,1.73419558295891e-07,0.0006845448031133,True,False
EGR3,EGR3,52.9041168064165,3.41100104422139,0.709315764322674,4.80886118113921,1.51792567964295e-06,0.0044938189745829,True,False
DUSP5,DUSP5,74.6865560354465,2.08368213684258,0.463990041304353,4.49079064495652,7.09592727443154e-06,0.0168059941567637,True,False
IER2,IER2,314.890553814949,1.97498905354885,0.447927850526336,4.40916779617107,1.03768603171739e-05,0.0204804633126623,True,False
DUSP1,DUSP1,104.227111171407,1.59592312893236,0.374509532396448,4.26136851235859,2.03178882210494e-05,0.033904110985035,True,False
EGR1,EGR1,830.954638689689,3.17424828212428,0.755437081295694,4.20186983233592,2.64719341304529e-05,0.033904110985035,True,False
FOS,FOS,53.174779656555,3.94371801588189,0.942549746745322,4.1840953535872,2.86303926575198e-05,0.033904110985035,True,False
CSRNP1,CSRNP1,209.085158330504,1.88619052033172,0.448515410582624,4.20540850063891,2.60611009467419e-05,0.033904110985035,True,False
ARL4C,ARL4C,692.052952950198,1.39462177742561,0.355603820427913,3.9218413788339,8.78748363346362e-05,0.0946012556249783,False,False
CDC42EP3,CDC42EP3,1143.91299292747,1.19099040400152,0.306169162427873,3.88997505351995,0.0001002545276721,0.0989345097244874,False,False
NR4A3,NR4A3,65.2934062653567,4.032795590095,1.06513618821886,3.78617836357499,0.0001529818856203,0.133038147833518,False,False
JUNB,JUNB,680.70978888885,1.59951539774434,0.423232760699505,3.77928068493731,0.0001572820528347,0.133038147833518,False,False
FOSB,FOSB,42.0316719502806,3.27446247065177,0.891466636644412,3.67311836029808,0.0002396084295231,0.189162868160849,False,False
SRXN1,SRXN1,204.227521478403,1.28393831856662,0.351973678107563,3.64782481880433,0.0002644698536379,0.195740750423809,False,False
